"scientificName","cadillac","Kingdom","Phylum","Class","Order","Family","Body.Length","Unit","Measurement.Type","Metric","Number.of.Individuals","Sex","Age","Lifestage","Level","Searched.By","Notes","Citation","Link","Time.Searched"
"Eurhynchium crassinervium","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Eurhynchium praelongum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Eurhynchium pumilum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Eurhynchium speciosum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Eurhynchium striatum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Exsertotheca crispa","n","Plantae","Bryophyta","Bryopsida","Leucodontales","Neckeraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens adianthoides","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens bryoides","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens celticus","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens crassipes","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens dubius","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens exilis","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens gracilifolius","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens incurvus","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens osmundoides","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens rufulus","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens taxifolius","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fissidens viridulus","n","Plantae","Bryophyta","Bryopsida","Fissidentales","Fissidentaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fontinalis antipyretica","n","Plantae","Bryophyta","Bryopsida","Isobryales","Fontinalaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Fontinalis squamosa","n","Plantae","Bryophyta","Bryopsida","Isobryales","Fontinalaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Funaria hygrometrica","n","Plantae","Bryophyta","Bryopsida","Funariales","Funariaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Glyphomitrium daviesii","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Ptychomitriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Grimmia crinita","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Grimmia ramondii","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Grimmia funalis","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Grimmia hartmanii","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Grimmia pulvinata","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Gymnostomum aeruginosum","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Gyroweisia tenuis","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hamatocaulis vernicosus","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hedwigia ciliata","n","Plantae","Bryophyta","Bryopsida","Leucodontales","Hedwigiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hennediella heimii","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Heterocladium heteropterum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Thuidiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Homalia trichomanoides","n","Plantae","Bryophyta","Bryopsida","Leucodontales","Neckeraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Homalothecium sericeum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hookeria lucens","n","Plantae","Bryophyta","Bryopsida","Hookeriales","Hookeriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hygrohypnum eugyrium","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hygrohypnum luridum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hygrohypnum ochraceum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Loeskeobryum brevirostre","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hylocomiastrum umbratum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hyocomium armoricum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hypnaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hyophila involuta","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hypnum andoi","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hypnaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hypnum callichroum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hypnaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hypnum cupressiforme","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hypnaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hypnum jutlandicum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hypnaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Calliergonella lindbergii","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Bryum alpinum","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Isopterygiopsis pulchella","n","Plantae","Bryophyta","Bryopsida","Hypnales","Plagiotheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Isothecium alopecuroides","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Isothecium holtii","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Isothecium myosuroides","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leptobryum pyriforme","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leptodictyum riparium","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leptodon smithii","n","Plantae","Bryophyta","Bryopsida","Leucodontales","Leptodontaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leptodontium flexifolium","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leskea polycarpa","n","Plantae","Bryophyta","Bryopsida","Hypnales","Leskeaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leucobryum glaucum","n","Plantae","Bryophyta","Bryopsida","Dicranales","Dicranaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leucodon sciuroides","n","Plantae","Bryophyta","Bryopsida","Leucodontales","Leucodontaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Meesia triquetra","n","Plantae","Bryophyta","Bryopsida","Bryales","Meesiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Meesia uliginosa","n","Plantae","Bryophyta","Bryopsida","Bryales","Meesiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Microbryum curvicolle","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Microbryum davallianum","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Microbryum rectum","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Mnium hornum","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Mnium stellare","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Neckera pumila","n","Plantae","Bryophyta","Bryopsida","Leucodontales","Neckeraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Oligotrichum hercynicum","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthodontium lineare","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthothecium intricatum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hypnaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthothecium rufescens","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hypnaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum affine","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum anomalum","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum cupulatum","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum diaphanum","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum lyellii","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum obtusifolium","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum pulchellum","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum rivulare","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum rupestre","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum stramineum","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Orthotrichum striatum","n","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Trichostomum tenuirostre","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Palustriella falcata","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Philonotis calcarea","n","Plantae","Bryophyta","Bryopsida","Bryales","Bartramiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Philonotis fontana","n","Plantae","Bryophyta","Bryopsida","Bryales","Bartramiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Physcomitrium pyriforme","n","Plantae","Bryophyta","Bryopsida","Funariales","Funariaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Bryum donianum","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiobryum zierii","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiomnium affine","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiomnium cuspidatum","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiomnium elatum","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiomnium rostratum","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiomnium undulatum","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiothecium curvifolium","n","Plantae","Bryophyta","Bryopsida","Hypnales","Plagiotheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiothecium denticulatum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Plagiotheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiothecium latebricola","n","Plantae","Bryophyta","Bryopsida","Hypnales","Plagiotheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiothecium nemorale","n","Plantae","Bryophyta","Bryopsida","Hypnales","Plagiotheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiothecium succulentum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Plagiotheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Plagiothecium undulatum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Plagiotheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pleuridium acuminatum","n","Plantae","Bryophyta","Bryopsida","Dicranales","Ditrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pleuridium subulatum","n","Plantae","Bryophyta","Bryopsida","Dicranales","Ditrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pleurochaete squarrosa","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pleurozium schreberi","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pogonatum aloides","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pogonatum urnigerum","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pohlia annotina","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pohlia cruda","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pohlia drummondii","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pohlia melanodon","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pohlia nutans","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pohlia wahlenbergii","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Polytrichastrum alpinum","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Polytrichum formosum","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Polytrichum juniperinum","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Polytrichum longisetum","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Polytrichum piliferum","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Polytrichum strictum","n","Plantae","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Tortula modica","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Tortula lanceola","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pseudephemerum nitidum","n","Plantae","Bryophyta","Bryopsida","Dicranales","Dicranaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pseudobryum cinclidioides","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pseudocalliergon trifarium","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pseudocrossidium hornschuchianum","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pseudocrossidium revolutum","n","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pseudoscleropodium purum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Entodontaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pseudotaxiphyllum elegans","n","Plantae","Bryophyta","Bryopsida","Hypnales","Plagiotheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pterigynandrum filiforme","n","Plantae","Bryophyta","Bryopsida","Hypnales","Pterigynandraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pterogonium gracile","n","Plantae","Bryophyta","Bryopsida","Leucodontales","Leucodontaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ptilium crista-castrensis","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hypnaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ptychomitrium polyphyllum","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Ptychomitriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Bryum pallens","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Racomitrium lanuginosum","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Racomitrium microcarpum","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhabdoweisia crispata","n","Plantae","Bryophyta","Bryopsida","Dicranales","Rhabdoweisiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhizomnium pseudopunctatum","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhizomnium punctatum","n","Plantae","Bryophyta","Bryopsida","Bryales","Mniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhodobryum roseum","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhynchostegiella tenella","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhynchostegiella teneriffae","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhynchostegium confertum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhynchostegium megapolitanum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhynchostegium murale","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Platyhypnidium riparioides","n","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhytidiadelphus loreus","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhytidiadelphus squarrosus","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhytidiadelphus subpinnatus","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rhytidiadelphus triquetrus","n","Plantae","Bryophyta","Bryopsida","Hypnales","Hylocomiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Rosulabryum capillare","n","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Sanionia uncinata","n","Plantae","Bryophyta","Bryopsida","Hypnales","Amblystegiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Sarmentypnum exannulatum","n","Plantae","Bryophyta","Bryopsida","Hypnales","Calliergonaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Schistidium apocarpum","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Schistidium maritimum","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Schistidium rivulare","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Schistidium strictum","n","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
