Species,Kingdom,Phylum,Class,Order,Family ,db,db_code,Body Length,Unit,Measurement Type,Metric,Number of Individuals,Sex,Age,Lifestage,Level,Searched By,Notes,Citation,Link,Time Searched
Hemitriccus rufigularis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,gbif,GBIF:2483012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hemixos cinereus,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,gbif,GBIF:5846115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hemorrhois hippocrepis,Animalia,Chordata,Reptilia,Squamata,Colubridae,gbif,GBIF:2459023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Heptranchias perlo,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,gbif,GBIF:2420586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Heterodontus galeatus,Animalia,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,gbif,GBIF:5215665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Heteromirafra ruddi,Animalia,Chordata,Aves,Passeriformes,Alaudidae,gbif,GBIF:2490703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Heteromunia pectoralis,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Poecilodryas albispecularis,Animalia,Chordata,Aves,Passeriformes,Petroicidae,gbif,GBIF:2489268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hieraaetus ayresii,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,gbif,GBIF:2480689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hieraaetus pennatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,gbif,GBIF:2480685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hierococcyx bocki,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,gbif,GBIF:5231900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cuculus fugax,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,gbif,GBIF:5231897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hierophis viridiflavus,Animalia,Chordata,Reptilia,Squamata,Colubridae,gbif,GBIF:2458916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Himantopus himantopus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,gbif,GBIF:5229126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,gbif,GBIF:5229128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hippocampus hippocampus,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,gbif,GBIF:5201134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hippoglossoides sp.,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hipposideros bicolor,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,gbif,GBIF:5218592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hippotragus equinus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,gbif,GBIF:2441030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hirundapus caudacutus,Animalia,Chordata,Aves,Apodiformes,Apodidae,gbif,GBIF:2477130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cecropis abyssinica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,gbif,GBIF:6095032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hirundo atrocaerulea,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,gbif,GBIF:5230780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hirundo dimidiata,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,gbif,GBIF:5230771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cecropis semirufa,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,gbif,GBIF:7342255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cecropis senegalensis,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,gbif,GBIF:7342250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hirundo smithii,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,gbif,GBIF:5230801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Petrochelidon spilodera,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,gbif,GBIF:5846402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hirundo tahitica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,gbif,GBIF:5230787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hydrobates pelagicus,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,gbif,GBIF:4408455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hydrornis schwaneri,Animalia,Chordata,Aves,Passeriformes,Pittidae,gbif,GBIF:6101090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hygophum benoiti,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,gbif,GBIF:9795756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Calamanthus cautus,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,gbif,GBIF:4846336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Calamanthus pyrrhopygius,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,gbif,GBIF:4846335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hylophylax naevius,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,gbif,GBIF:7341184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hypargos margaritatus,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Kurochkinegramma hypogrammicum,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,gbif,GBIF:5229965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hypoplectrodes maccullochi,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,gbif,GBIF:2387940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hypoplectrodes nigroruber,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,gbif,GBIF:2387925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hypothymis azurea,Animalia,Chordata,Aves,Passeriformes,Monarchidae,gbif,GBIF:2486625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hypsoblennius jenkinsi,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,gbif,GBIF:2395537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ia io,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,gbif,GBIF:2432577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Icterus bullockii,Animalia,Chordata,Aves,Passeriformes,Icteridae,gbif,GBIF:5229864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Icterus cucullatus,Animalia,Chordata,Aves,Passeriformes,Icteridae,gbif,GBIF:5229882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Icterus graduacauda,Animalia,Chordata,Aves,Passeriformes,Icteridae,gbif,GBIF:5229903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Icterus gularis,Animalia,Chordata,Aves,Passeriformes,Icteridae,gbif,GBIF:5229893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Icterus portoricensis,Animalia,Chordata,Aves,Passeriformes,Icteridae,gbif,GBIF:5229874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Indicator archipelagicus,Animalia,Chordata,Aves,Piciformes,Indicatoridae,gbif,GBIF:5229002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Indicator indicator,Animalia,Chordata,Aves,Piciformes,Indicatoridae,gbif,GBIF:5228976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Indicator minor,Animalia,Chordata,Aves,Piciformes,Indicatoridae,gbif,GBIF:5228985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Indicator variegatus,Animalia,Chordata,Aves,Piciformes,Indicatoridae,gbif,GBIF:5228977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Irena puella,Animalia,Chordata,Aves,Passeriformes,Irenidae,gbif,GBIF:2488929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ispidina picta,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,gbif,GBIF:5228375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Istiophorus platypterus,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,gbif,GBIF:5211984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Dupetor flavicollis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,gbif,GBIF:2480871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ixobrychus minutus,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,gbif,GBIF:2480850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ixos malaccensis,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,gbif,GBIF:2486081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diploderma micangshanensis,Animalia,Chordata,Reptilia,Squamata,Agamidae,gbif,GBIF:11191540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Japalura micangshanensis,Animalia,Chordata,Reptilia,Squamata,Agamidae,gbif,GBIF:11191540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Jynx ruficollis,Animalia,Chordata,Aves,Piciformes,Picidae,gbif,GBIF:2478160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Kajikia albida,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,gbif,GBIF:4285895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Kajikia audax,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,gbif,GBIF:2397938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Katsuwonus pelamis,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,gbif,GBIF:2374191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Kaupifalco monogrammicus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,gbif,GBIF:2480440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Kobus ellipsiprymnus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,gbif,GBIF:5220160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lacedo pulchella,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,gbif,GBIF:2475559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lagenorhynchus obliquidens,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,gbif,GBIF:5220069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lagonosticta rhodopareia,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lagonosticta rubricata,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lagonosticta senegala,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lalage tricolor,Animalia,Chordata,Aves,Passeriformes,Campephagidae,gbif,GBIF:5230457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lampadena atlantica,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,gbif,GBIF:4286713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lampanyctus alatus,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,gbif,GBIF:7791680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lampornis clemenciae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,gbif,GBIF:2476748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lamprogrammus niger,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,gbif,GBIF:2346011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lamprotornis australis,Animalia,Chordata,Aves,Passeriformes,Sturnidae,gbif,GBIF:2489070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lamprotornis chalybaeus,Animalia,Chordata,Aves,Passeriformes,Sturnidae,gbif,GBIF:2489071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Notopholia corusca,Animalia,Chordata,Aves,Passeriformes,Sturnidae,gbif,GBIF:6100936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lamprotornis mevesii,Animalia,Chordata,Aves,Passeriformes,Sturnidae,gbif,GBIF:2489086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lamprotornis nitens,Animalia,Chordata,Aves,Passeriformes,Sturnidae,gbif,GBIF:2489073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Laniarius atrococcineus,Animalia,Chordata,Aves,Passeriformes,Malaconotidae,gbif,GBIF:2484863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lanio versicolor,Animalia,Chordata,Aves,Passeriformes,Thraupidae,gbif,GBIF:2488288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lanius minor,Animalia,Chordata,Aves,Passeriformes,Laniidae,gbif,GBIF:2492854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lanius senator,Animalia,Chordata,Aves,Passeriformes,Laniidae,gbif,GBIF:2492867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Larimus fasciatus,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,gbif,GBIF:2399924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Larus atricilla,Animalia,Chordata,Aves,Charadriiformes,Laridae,gbif,GBIF:6065844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Larus cachinnans,Animalia,Chordata,Aves,Charadriiformes,Laridae,gbif,GBIF:2481181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Larus philadelphia,Animalia,Chordata,Aves,Charadriiformes,Laridae,gbif,GBIF:6065818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lathamus discolor,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,gbif,GBIF:2480052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Latropiscis purpurissatus,Animalia,Chordata,Actinopterygii,Aulopiformes,Aulopidae,gbif,GBIF:4353928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leipoa ocellata,Animalia,Chordata,Aves,Galliformes,Megapodiidae,gbif,GBIF:2482152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepidopsetta bilineata,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,gbif,GBIF:5213939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepidopsetta polyxystra,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,gbif,GBIF:5213938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepidopsetta sp.,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepidorhombus whiffiagonis,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,gbif,GBIF:2409391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepomis cyanellus,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,gbif,GBIF:2394494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepomis humilis,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,gbif,GBIF:2394483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leptopogon amaurocephalus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,gbif,GBIF:5229517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leptopogon superciliaris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,gbif,GBIF:5229505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leptotila verreauxi,Animalia,Chordata,Aves,Columbiformes,Columbidae,gbif,GBIF:2496060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepus americanus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,gbif,GBIF:2436794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leucoraja garmani,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,gbif,GBIF:2419858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leucoraja naevus,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,gbif,GBIF:2419875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leucosarcia melanoleuca,Animalia,Chordata,Aves,Columbiformes,Columbidae,gbif,GBIF:2495910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bathylagus stilbius,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,gbif,GBIF:2410951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lewinia pectoralis,Animalia,Chordata,Aves,Gruiformes,Rallidae,gbif,GBIF:5228188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus chrysops,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus cratitius,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus fasciogularis,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus flavescens,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus flavicollis,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus flavus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus frenatus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus fuscus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus hindwoodi,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus keartlandi,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nesoptilotis leucotis,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus melanops,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus ornatus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus penicillatus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus plumulus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus unicolor,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus versicolor,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichenostomus virescens,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2486936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichia amia,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,gbif,GBIF:2391092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lichmera indistincta,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,gbif,GBIF:2487341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Myzopsetta ferruginea,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,ncbi,NCBI:8258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Limanda limanda,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,gbif,GBIF:5213960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Myzopsetta proboscidea,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,gbif,GBIF:5213962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lioptilus nigricapillus,Animalia,Chordata,Aves,Passeriformes,Sylviidae,gbif,GBIF:5231367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lipaugus vociferans,Animalia,Chordata,Aves,Passeriformes,Cotingidae,gbif,GBIF:2486506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lissotis melanogaster,Animalia,Chordata,Aves,Otidiformes,Otididae,gbif,GBIF:2474850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Liza ramado,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,gbif,GBIF:9234296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lonchura atricapilla,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lonchura castaneothorax,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lonchura flaviprymna,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lonchura fuscans,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lonchura punctulata,Animalia,Chordata,Aves,Passeriformes,Estrildidae,gbif,GBIF:2493598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lophaetus occipitalis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,gbif,GBIF:2480475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lophius budegassa,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,gbif,GBIF:2415070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lophius piscatorius,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,gbif,GBIF:2415075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lophochroa leadbeateri,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,gbif,GBIF:7340185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lophoictinia isura,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,gbif,GBIF:2480643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lopholaimus antarcticus,Animalia,Chordata,Aves,Columbiformes,Columbidae,gbif,GBIF:5231890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lophotis ruficrista,Animalia,Chordata,Aves,Otidiformes,Otididae,gbif,GBIF:2474882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lophotriccus pileatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,gbif,GBIF:2483402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Loriculus galgulus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,gbif,GBIF:2479372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Loxia species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Loxia sp.,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Melopyrrha portoricensis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,gbif,GBIF:2491055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lutjanus rivulatus,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,gbif,GBIF:2384813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lybius torquatus,Animalia,Chordata,Aves,Piciformes,Lybiidae,gbif,GBIF:2479007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
